Id problem,Weights,Prices,Capacity,Best picks,Best price,Average Weights,Average Prices,Cost function,Constraint,Problem
19,"[22, 30, 16, 18, 37]","[10, 16, 16, 17, 12]",63,"[0, 1, 1, 1, 0]",48.46666666670458,24.6,14.2,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [22, 30, 16, 18, 37], 'prices': [10, 16, 16, 17, 12], 'capacity': 63}"
20,"[40, 35, 24, 28, 27]","[19, 13, 16, 3, 2]",86,"[1, 1, 1, 0, 0]",43.17142857138484,30.8,10.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [40, 35, 24, 28, 27], 'prices': [19, 13, 16, 3, 2], 'capacity': 86}"
21,"[4, 4, 21, 23, 38]","[18, 11, 18, 1, 18]",86,"[1, 1, 1, 1, 1]",65.82608695651778,18.0,13.2,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [4, 4, 21, 23, 38], 'prices': [18, 11, 18, 1, 18], 'capacity': 86}"
22,"[29, 28, 46, 37, 15]","[2, 3, 3, 1, 5]",58,"[1, 1, 0, 0, 1]",9.034482758621252,31.0,2.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [29, 28, 46, 37, 15], 'prices': [2, 3, 3, 1, 5], 'capacity': 58}"
23,"[26, 14, 6, 34, 1]","[18, 7, 17, 3, 9]",36,"[1, 0, 1, 0, 1]",45.4999999999642,16.2,10.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [26, 14, 6, 34, 1], 'prices': [18, 7, 17, 3, 9], 'capacity': 36}"
24,"[42, 47, 37, 13, 15]","[6, 10, 16, 8, 18]",76,"[0, 0, 1, 1, 1]",44.34042553196754,30.8,11.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [42, 47, 37, 13, 15], 'prices': [6, 10, 16, 8, 18], 'capacity': 76}"
25,"[16, 24, 29, 22, 5]","[10, 6, 13, 8, 8]",83,"[1, 0, 1, 1, 1]",41.75000000000597,19.2,9.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [16, 24, 29, 22, 5], 'prices': [10, 6, 13, 8, 8], 'capacity': 83}"
26,"[20, 2, 17, 14, 2]","[1, 4, 8, 9, 5]",95,"[1, 1, 1, 1, 1]",27.0,11.0,5.4,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [20, 2, 17, 14, 2], 'prices': [1, 4, 8, 9, 5], 'capacity': 95}"
27,"[21, 9, 9, 8, 6]","[5, 2, 9, 7, 6]",73,"[1, 1, 1, 1, 1]",29.0,10.6,5.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [21, 9, 9, 8, 6], 'prices': [5, 2, 9, 7, 6], 'capacity': 73}"
28,"[48, 41, 21, 29, 16]","[11, 9, 5, 1, 7]",85,"[1, 0, 1, 0, 1]",22.99999999997381,31.0,6.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [48, 41, 21, 29, 16], 'prices': [11, 9, 5, 1, 7], 'capacity': 85}"
29,"[16, 1, 11, 1, 1]","[8, 3, 6, 6, 12]",30,"[1, 1, 1, 1, 1]",35.0,6.0,7.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [16, 1, 11, 1, 1], 'prices': [8, 3, 6, 6, 12], 'capacity': 30}"
30,"[18, 26, 4, 22, 35]","[13, 14, 1, 14, 3]",61,"[1, 1, 0, 1, 0]",38.307692307663686,21.0,9.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [18, 26, 4, 22, 35], 'prices': [13, 14, 1, 14, 3], 'capacity': 61}"
31,"[24, 41, 22, 18, 26]","[2, 11, 3, 11, 5]",45,"[0, 1, 0, 1, 0]",18.24390243900379,26.2,6.4,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [24, 41, 22, 18, 26], 'prices': [2, 11, 3, 11, 5], 'capacity': 45}"
32,"[18, 2, 19, 19, 28]","[9, 15, 7, 3, 7]",73,"[1, 1, 1, 0, 1]",38.94736842105296,17.2,8.2,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [18, 2, 19, 19, 28], 'prices': [9, 15, 7, 3, 7], 'capacity': 73}"
33,"[41, 33, 4, 23, 38]","[17, 4, 2, 12, 17]",38,"[0, 0, 1, 1, 0]",18.921052631521952,27.8,10.4,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [41, 33, 4, 23, 38], 'prices': [17, 4, 2, 12, 17], 'capacity': 38}"
34,"[6, 29, 39, 10, 36]","[14, 2, 3, 12, 17]",66,"[1, 0, 0, 1, 1]",44.07692307692814,24.0,9.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [6, 29, 39, 10, 36], 'prices': [14, 2, 3, 12, 17], 'capacity': 66}"
35,"[25, 38, 49, 33, 11]","[11, 15, 5, 13, 1]",15,"[1, 0, 0, 0, 0]",6.599999999996596,31.2,9.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [25, 38, 49, 33, 11], 'prices': [11, 15, 5, 13, 1], 'capacity': 15}"
36,"[14, 24, 9, 47, 17]","[9, 9, 18, 17, 10]",72,"[1, 1, 1, 0, 1]",48.893617021734855,22.2,12.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [14, 24, 9, 47, 17], 'prices': [9, 9, 18, 17, 10], 'capacity': 72}"
37,"[2, 39, 30, 6, 20]","[13, 14, 1, 10, 15]",60,"[1, 1, 0, 1, 1]",49.48717948722107,19.4,10.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [2, 39, 30, 6, 20], 'prices': [13, 14, 1, 10, 15], 'capacity': 60}"
38,"[19, 25, 1, 35, 22]","[18, 3, 8, 2, 4]",37,"[1, 0, 1, 0, 1]",29.09090909088251,20.4,7.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [19, 25, 1, 35, 22], 'prices': [18, 3, 8, 2, 4], 'capacity': 37}"
39,"[29, 47, 43, 30, 43]","[1, 9, 17, 6, 4]",79,"[0, 0, 1, 1, 0]",24.148936170160344,38.4,7.4,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [29, 47, 43, 30, 43], 'prices': [1, 9, 17, 6, 4], 'capacity': 79}"
40,"[42, 27, 11, 42, 15]","[5, 1, 1, 8, 5]",72,"[0, 0, 0, 1, 1]",14.785714285708059,27.4,4.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [42, 27, 11, 42, 15], 'prices': [5, 1, 1, 8, 5], 'capacity': 72}"
41,"[4, 10, 42, 24, 12]","[4, 9, 3, 17, 17]",49,"[1, 1, 0, 1, 1]",46.2916666667156,18.4,10.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [4, 10, 42, 24, 12], 'prices': [4, 9, 3, 17, 17], 'capacity': 49}"
42,"[20, 26, 46, 22, 48]","[17, 9, 11, 14, 3]",21,"[1, 0, 0, 0, 0]",17.63636363616737,32.4,10.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [20, 26, 46, 22, 48], 'prices': [17, 9, 11, 14, 3], 'capacity': 21}"
43,"[17, 10, 17, 2, 14]","[12, 19, 4, 15, 7]",52,"[1, 1, 1, 1, 1]",55.11764705876444,12.0,11.4,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [17, 10, 17, 2, 14], 'prices': [12, 19, 4, 15, 7], 'capacity': 52}"
44,"[31, 5, 49, 13, 49]","[6, 11, 15, 14, 4]",49,"[0, 1, 1, 1, 0]",34.48979591844683,29.4,10.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [31, 5, 49, 13, 49], 'prices': [6, 11, 15, 14, 4], 'capacity': 49}"
45,"[31, 5, 14, 3, 12]","[9, 8, 14, 12, 8]",18,"[0, 1, 1, 1, 0]",30.00000000005083,13.0,10.2,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [31, 5, 14, 3, 12], 'prices': [9, 8, 14, 12, 8], 'capacity': 18}"
46,"[39, 42, 32, 38, 29]","[2, 7, 7, 12, 11]",24,"[0, 0, 0, 0, 1]",9.103448275855971,36.0,7.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [39, 42, 32, 38, 29], 'prices': [2, 7, 7, 12, 11], 'capacity': 24}"
47,"[27, 42, 47, 47, 27]","[15, 15, 7, 19, 19]",35,"[0, 0, 0, 0, 1]",23.444444444745745,38.0,15.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [27, 42, 47, 47, 27], 'prices': [15, 15, 7, 19, 19], 'capacity': 35}"
48,"[15, 40, 8, 32, 21]","[8, 8, 13, 12, 9]",43,"[1, 0, 1, 0, 1]",29.571428571496675,23.2,10.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [15, 40, 8, 32, 21], 'prices': [8, 8, 13, 12, 9], 'capacity': 43}"
49,"[8, 29, 23, 10, 44]","[6, 7, 1, 18, 12]",55,"[1, 0, 0, 1, 1]",34.090909090879684,22.8,8.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [8, 29, 23, 10, 44], 'prices': [6, 7, 1, 18, 12], 'capacity': 55}"
50,"[43, 3, 49, 41, 27]","[1, 12, 15, 17, 5]",91,"[0, 1, 1, 1, 0]",43.387755102079915,32.6,10.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [43, 3, 49, 41, 27], 'prices': [1, 12, 15, 17, 5], 'capacity': 91}"
51,"[8, 8, 32, 37, 40]","[14, 17, 3, 14, 10]",74,"[1, 1, 0, 1, 1]",50.249999999853,25.0,11.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [8, 8, 32, 37, 40], 'prices': [14, 17, 3, 14, 10], 'capacity': 74}"
52,"[28, 9, 48, 35, 34]","[12, 1, 3, 15, 13]",78,"[1, 0, 0, 1, 0]",32.73529411767601,30.8,8.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [28, 9, 48, 35, 34], 'prices': [12, 1, 3, 15, 13], 'capacity': 78}"
53,"[33, 4, 19, 13, 26]","[2, 19, 9, 11, 19]",39,"[0, 1, 0, 1, 1]",46.07692307693209,19.0,12.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [33, 4, 19, 13, 26], 'prices': [2, 19, 9, 11, 19], 'capacity': 39}"
54,"[40, 44, 29, 30, 36]","[18, 11, 8, 8, 7]",16,"[0, 0, 0, 0, 0]",7.199999999994347,35.8,10.4,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [40, 44, 29, 30, 36], 'prices': [18, 11, 8, 8, 7], 'capacity': 16}"
55,"[15, 20, 3, 11, 28]","[10, 11, 5, 5, 2]",15,"[1, 0, 1, 0, 0]",13.000000000018314,15.4,6.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [15, 20, 3, 11, 28], 'prices': [10, 11, 5, 5, 2], 'capacity': 15}"
56,"[38, 16, 45, 28, 28]","[6, 13, 2, 19, 12]",50,"[0, 1, 0, 1, 0]",34.5714285711979,31.0,10.4,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [38, 16, 45, 28, 28], 'prices': [6, 13, 2, 19, 12], 'capacity': 50}"
57,"[32, 22, 27, 18, 42]","[13, 16, 13, 12, 8]",91,"[1, 1, 1, 1, 0]",50.75000000001711,28.2,12.4,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [32, 22, 27, 18, 42], 'prices': [13, 16, 13, 12, 8], 'capacity': 91}"
58,"[42, 49, 21, 42, 1]","[11, 3, 1, 16, 16]",79,"[1, 0, 0, 1, 1]",41.42857142851191,31.0,9.4,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [42, 49, 21, 42, 1], 'prices': [11, 3, 1, 16, 16], 'capacity': 79}"
59,"[15, 18, 17, 45, 36]","[19, 6, 5, 3, 14]",70,"[1, 1, 0, 0, 1]",39.294117647078124,26.2,9.4,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [15, 18, 17, 45, 36], 'prices': [19, 6, 5, 3, 14], 'capacity': 70}"
60,"[16, 47, 27, 47, 48]","[13, 7, 14, 19, 8]",90,"[1, 0, 1, 1, 0]",45.99999999997859,37.0,12.2,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [16, 47, 27, 47, 48], 'prices': [13, 7, 14, 19, 8], 'capacity': 90}"
61,"[5, 19, 42, 34, 43]","[4, 18, 9, 8, 17]",93,"[1, 1, 0, 1, 1]",45.11764705873439,28.6,11.2,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [5, 19, 42, 34, 43], 'prices': [4, 18, 9, 8, 17], 'capacity': 93}"
62,"[38, 25, 24, 15, 28]","[5, 19, 4, 19, 12]",46,"[0, 1, 0, 1, 0]",40.571428571263006,26.0,11.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [38, 25, 24, 15, 28], 'prices': [5, 19, 4, 19, 12], 'capacity': 46}"
63,"[45, 1, 17, 9, 36]","[4, 12, 19, 10, 13]",16,"[0, 1, 1, 0, 0]",28.76470588518608,21.6,11.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [45, 1, 17, 9, 36], 'prices': [4, 12, 19, 10, 13], 'capacity': 16}"
64,"[29, 17, 23, 16, 8]","[3, 16, 14, 18, 18]",95,"[1, 1, 1, 1, 1]",69.0,18.6,13.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [29, 17, 23, 16, 8], 'prices': [3, 16, 14, 18, 18], 'capacity': 95}"
65,"[44, 20, 3, 14, 17]","[13, 15, 16, 13, 16]",49,"[0, 1, 1, 1, 1]",56.24999999988866,19.6,14.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [44, 20, 3, 14, 17], 'prices': [13, 15, 16, 13, 16], 'capacity': 49}"
66,"[48, 1, 6, 22, 31]","[5, 10, 7, 5, 8]",84,"[1, 1, 1, 1, 1]",32.50000000000058,21.6,7.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [48, 1, 6, 22, 31], 'prices': [5, 10, 7, 5, 8], 'capacity': 84}"
67,"[10, 39, 39, 42, 19]","[12, 1, 16, 4, 12]",23,"[1, 0, 0, 0, 1]",20.210526315828325,29.8,9.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [10, 39, 39, 42, 19], 'prices': [12, 1, 16, 4, 12], 'capacity': 23}"
68,"[30, 17, 1, 6, 32]","[10, 3, 19, 12, 5]",39,"[1, 0, 1, 1, 0]",41.35294117647664,17.2,9.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [30, 17, 1, 6, 32], 'prices': [10, 3, 19, 12, 5], 'capacity': 39}"
69,"[45, 1, 46, 25, 23]","[18, 18, 19, 14, 10]",56,"[0, 1, 0, 1, 1]",44.89130434794983,28.0,15.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [45, 1, 46, 25, 23], 'prices': [18, 18, 19, 14, 10], 'capacity': 56}"
70,"[8, 27, 5, 17, 35]","[5, 9, 2, 9, 9]",28,"[1, 0, 1, 1, 0]",15.200000000022465,18.4,6.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [8, 27, 5, 17, 35], 'prices': [5, 9, 2, 9, 9], 'capacity': 28}"
71,"[15, 20, 4, 49, 20]","[18, 16, 12, 17, 12]",95,"[1, 1, 1, 1, 1]",70.48979591845655,21.6,15.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [15, 20, 4, 49, 20], 'prices': [18, 16, 12, 17, 12], 'capacity': 95}"
72,"[34, 13, 21, 17, 28]","[10, 1, 4, 11, 9]",37,"[0, 0, 0, 1, 1]",17.428571428547365,22.6,7.0,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [34, 13, 21, 17, 28], 'prices': [10, 1, 4, 11, 9], 'capacity': 37}"
73,"[36, 12, 13, 4, 31]","[7, 15, 3, 10, 14]",71,"[0, 1, 1, 1, 1]",44.13888888889012,19.2,9.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [36, 12, 13, 4, 31], 'prices': [7, 15, 3, 10, 14], 'capacity': 71}"
74,"[13, 47, 49, 42, 43]","[11, 6, 10, 5, 2]",93,"[1, 1, 1, 0, 0]",24.957446808494712,38.8,6.8,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [13, 47, 49, 42, 43], 'prices': [11, 6, 10, 5, 2], 'capacity': 93}"
75,"[49, 44, 42, 6, 17]","[18, 1, 10, 6, 11]",75,"[1, 0, 0, 1, 1]",35.71428571429573,31.6,9.2,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [49, 44, 42, 6, 17], 'prices': [18, 1, 10, 6, 11], 'capacity': 75}"
76,"[17, 23, 16, 42, 1]","[12, 9, 2, 5, 15]",68,"[1, 1, 1, 0, 1]",39.309523809527654,19.8,8.6,Maximize sum(Prices[i] * x[i] for i in range(num_items)),Sum(Weights[i] * x[i] for i in range(num_items)) <= Capacity,"{'weights': [17, 23, 16, 42, 1], 'prices': [12, 9, 2, 5, 15], 'capacity': 68}"
